data,cv,cc,vt,ID,Ultima2Anos,Aposentado
2020-05-05,Rio Claro FC,Sem clube,-,226119,SIM,NAO
2020-01-15,EC Lemense,Rio Claro FC,custo zero,226119,SIM,NAO
2019-08-29,Ituano,EC Lemense,custo zero,226119,SIM,NAO
2019-04-16,CA Juventus,Ituano,?,226119,SIM,NAO
2018-07-24,Marília,CA Juventus,?,226119,SIM,NAO
2017-11-06,Sem clube,Marília,-,226119,SIM,NAO
2017-05-01,Portuguesa,Sem clube,-,226119,SIM,NAO
2017-01-12,Yangon United,Portuguesa,custo zero,226119,SIM,NAO
2015-11-23,Piracicaba,Yangon United,custo zero,226119,SIM,NAO
2015-05-05,Matonense,Piracicaba,Fim do empréstimo,226119,SIM,NAO
2015-02-03,Piracicaba,Matonense,Empréstimo,226119,SIM,NAO
2014-11-30,Santa Cruz,Piracicaba,Fim do empréstimo,226119,SIM,NAO
2014-03-20,Piracicaba,Santa Cruz,Empréstimo,226119,SIM,NAO
2013-08-05,Sem clube,Piracicaba,-,226119,SIM,NAO
2013-01-01,Corinthians,Sem clube,-,226119,SIM,NAO
2012-05-14,Piracicaba,Corinthians,?,226119,SIM,NAO
2012-01-10,Noroeste,Piracicaba,?,226119,SIM,NAO
2011-05-31,Piracicaba,Noroeste,Fim do empréstimo,226119,SIM,NAO
2011-01-06,Noroeste,Piracicaba,Empréstimo,226119,SIM,NAO
2009-12-07,Desconhecido,Noroeste,?,226119,SIM,NAO
2022-08-07,Cruzeiro,Santa Clara,custo zero,687743,NAO,NAO
2020-01-01,Cruzeiro U20,Cruzeiro,-,687743,NAO,NAO
2011-01-01,Litex Lovetch,Tuna Luso,?,68886,SIM,NAO
2010-12-01,Sliven,Litex Lovetch,Fim do empréstimo,68886,SIM,NAO
2010-01-01,Litex Lovetch,Sliven,Empréstimo,68886,SIM,NAO
2009-06-30,Spartak Varna,Litex Lovetch,Fim do empréstimo,68886,SIM,NAO
2009-01-01,Litex Lovetch,Spartak Varna,Empréstimo,68886,SIM,NAO
2008-12-01,Pelister Bitola,Litex Lovetch,Fim do empréstimo,68886,SIM,NAO
2008-01-01,Litex Lovetch,Pelister Bitola,Empréstimo,68886,SIM,NAO
2022-04-01,Cruzeiro U20,Ceará U20,custo zero,816137,NAO,NAO
2021-06-11,Palmeiras U20,Cruzeiro U20,?,816137,NAO,NAO
2020-01-01,Palmeiras U17,Palmeiras U20,-,816137,NAO,NAO
2019-08-01,Corinthians U17,Palmeiras U17,custo zero,816137,NAO,NAO
2019-01-01,Fluminense U17,Corinthians U17,custo zero,816137,NAO,NAO
2017-01-01,Votuporanguense,Tupi FC,?,84370,SIM,NAO
2015-12-11,Concórdia-SC,Votuporanguense,custo zero,84370,SIM,NAO
2015-07-01,Votuporanguense,Concórdia-SC,custo zero,84370,SIM,NAO
2015-04-01,Veranopolis,Votuporanguense,custo zero,84370,SIM,NAO
2014-12-31,Novo Hamburgo,Veranopolis,custo zero,84370,SIM,NAO
2014-03-31,Bento Gonçalves,Novo Hamburgo,custo zero,84370,SIM,NAO
2013-12-31,Cruzeiro U20,Bento Gonçalves,custo zero,84370,SIM,NAO
2012-05-01,Ipatinga FC,Cruzeiro,Fim do empréstimo,84370,SIM,NAO
2012-04-01,Cruzeiro,Ipatinga FC,Empréstimo,84370,SIM,NAO
2012-03-01,Nacional-MG,Cruzeiro,Fim do empréstimo,84370,SIM,NAO
2012-01-01,Cruzeiro,Nacional-MG,Empréstimo,84370,SIM,NAO
2011-05-01,Uberlândia EC,Cruzeiro,Fim do empréstimo,84370,SIM,NAO
2010-08-01,Cruzeiro,Uberlândia EC,Empréstimo,84370,SIM,NAO
2010-06-30,Ipatinga FC,Cruzeiro,Fim do empréstimo,84370,SIM,NAO
2008-08-01,Cruzeiro,Ipatinga FC,Empréstimo,84370,SIM,NAO
2008-06-30,CSA,Cruzeiro,Fim do empréstimo,84370,SIM,NAO
2008-06-01,Cruzeiro,CSA,Empréstimo,84370,SIM,NAO
2008-05-01,Itaúna,Cruzeiro,Fim do empréstimo,84370,SIM,NAO
2007-07-01,Cruzeiro,Itaúna,Empréstimo,84370,SIM,NAO
2022-02-16,Cruzeiro,Atlético-GO,custo zero,696604,NAO,NAO
2021-12-31,Ceará,Cruzeiro,Fim do empréstimo,696604,NAO,NAO
2021-07-23,Cruzeiro,Ceará,Empréstimo,696604,NAO,NAO
2020-08-19,Internacional,Cruzeiro,custo zero,696604,NAO,NAO
2020-01-10,Palmeiras U20,Internacional,custo zero,696604,NAO,NAO
2019-11-30,Oeste FC-SP,Palmeiras U20,Fim do empréstimo,696604,NAO,NAO
2019-08-16,Palmeiras U20,Oeste FC-SP,Empréstimo,696604,NAO,NAO
2022-01-20,Londrina,EC Água Santa,custo zero,330066,NAO,NAO
2019-11-30,Vila Nova,Londrina,Fim do empréstimo,330066,NAO,NAO
2019-06-03,Londrina,Vila Nova,Empréstimo,330066,NAO,NAO
2018-06-04,Cruzeiro,Londrina,?,330066,NAO,NAO
2018-06-01,Londrina,Cruzeiro,Fim do empréstimo,330066,NAO,NAO
2018-01-01,Cruzeiro,Londrina,Empréstimo,330066,NAO,NAO
2017-11-30,Londrina,Cruzeiro,Fim do empréstimo,330066,NAO,NAO
2017-01-01,Cruzeiro,Londrina,Empréstimo,330066,NAO,NAO
2016-11-30,Londrina,Cruzeiro,Fim do empréstimo,330066,NAO,NAO
2016-02-18,Cruzeiro,Londrina,Empréstimo,330066,NAO,NAO
2022-09-23,Samambaia FC,Brasiliense FC,Fim do empréstimo,539396,NAO,NAO
2022-08-16,Brasiliense FC,Samambaia FC,Empréstimo,539396,NAO,NAO
2018-12-01,Boa Esporte,Brasiliense FC,?,539396,NAO,NAO
2018-07-19,Sem clube,Boa Esporte,-,539396,NAO,NAO
2017-10-30,Fortaleza,Sem clube,-,539396,NAO,NAO
2017-06-14,Brasiliense FC,Fortaleza,?,539396,NAO,NAO
2016-11-22,Luziânia-DF,Brasiliense FC,?,539396,NAO,NAO
2022-04-27,Red Bull,Bragantino U20,-,574769,NAO,NAO
2022-01-27,North Texas SC,Red Bull,?,574769,NAO,NAO
2021-02-04,Cruzeiro U20,North Texas SC,?,574769,NAO,NAO
2020-07-01,Cruzeiro U17,Cruzeiro U20,-,574769,NAO,NAO
2022-12-31,Cuiabá,Vila Nova,Fim do empréstimo,480225,NAO,NAO
2022-01-01,Vila Nova,Cuiabá,Empréstimo,480225,NAO,NAO
2021-06-17,Bahia,Vila Nova,custo zero,480225,NAO,NAO
2020-01-06,Paraná,Bahia,?,480225,NAO,NAO
2018-09-04,Cruzeiro U17,Paraná,?,480225,NAO,NAO
2017-09-21,Paraná U20,Cruzeiro U17,?,480225,NAO,NAO
2017-06-30,Ponte Preta U20,Paraná U20,Fim do empréstimo,480225,NAO,NAO
2017-01-01,Paraná U20,Ponte Preta U20,Empréstimo,480225,NAO,NAO
2022-08-26,Sem clube,Chanthaburi,-,550675,NAO,NAO
2022-03-01,Sai Gon FC,Sem clube,-,550675,NAO,NAO
2022-02-01,Peñarol-AM,Sai Gon FC,custo zero,550675,NAO,NAO
2021-07-15,Linense-SP,Peñarol-AM,custo zero,550675,NAO,NAO
2021-02-17,Sem clube,Linense-SP,-,550675,NAO,NAO
2020-05-01,Portuguesa,Sem clube,-,550675,NAO,NAO
2020-01-23,Energetik-BGU,Portuguesa,custo zero,550675,NAO,NAO
2019-08-03,Penapolense-SP,Energetik-BGU,?,550675,NAO,NAO
2019-01-14,Sem clube,Penapolense-SP,?,550675,NAO,NAO
2018-12-11,São Caetano,Sem clube,?,550675,NAO,NAO
2018-05-24,Barretos-SP,São Caetano,?,550675,NAO,NAO
2017-11-01,Mirassol,Barretos-SP,?,550675,NAO,NAO
2020-07-01,Alverca,Sem clube,-,717064,SIM,NAO
2019-10-01,Cruzeiro U20,Alverca,custo zero,717064,SIM,NAO
2022-01-21,Chungnam Asan,Brusque-SC,custo zero,552892,NAO,NAO
2021-02-05,Juazeiro-BA,Chungnam Asan,custo zero,552892,NAO,NAO
2020-11-30,Brusque-SC,Juazeiro-BA,Fim do empréstimo,552892,NAO,NAO
2020-01-17,Juazeiro-BA,Brusque-SC,Empréstimo,552892,NAO,NAO
